Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,Cost: Total operating                                  
   1,   1,   1,               196.98                                  
   2,   1,   1,               177.92                                  
   3,   1,   1,               196.98                                  
   4,   1,   1,               190.62                                  
   5,   1,   1,               196.98                                  
   6,   1,   1,               190.62                                  
   7,   1,   1,               196.98                                  
   8,   1,   1,               196.98                                  
   9,   1,   1,               190.62                                  
  10,   1,   1,               196.98                                  
  11,   1,   1,               190.62                                  
  12,   1,   1,               196.98                                  
