Varies per block?       ,    3,Unit    ,s      ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,Total                                                  
   1,   1,   1,  0.0000                                               
   2,   1,   1,  0.0000                                               
   3,   1,   1,  0.0000                                               
   4,   1,   1,  0.0000                                               
   5,   1,   1,  0.0000                                               
   6,   1,   1,  0.0000                                               
   7,   1,   1, 0.10000E-01                                           
   8,   1,   1, 0.10000E-01                                           
   9,   1,   1,  0.0000                                               
  10,   1,   1,  0.0000                                               
  11,   1,   1,  0.0000                                               
  12,   1,   1,  0.0000                                               
