Varies per block?       ,    0,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   1,   1,   1,     0.00155                                           
   2,   1,   1,      0.0014                                           
   3,   1,   1,     0.00155                                           
   4,   1,   1,      0.0015                                           
   5,   1,   1,     0.00155                                           
   6,   1,   1,      0.0015                                           
   7,   1,   1,     0.00155                                           
   8,   1,   1,     0.00155                                           
   9,   1,   1,      0.0015                                           
  10,   1,   1,     0.00155                                           
  11,   1,   1,      0.0015                                           
  12,   1,   1,     0.00155                                           
